               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14609,            0.052185,            0.036493,           0.0003194,           0.0069442,          0.00016491,          4.1169e-05,             0.13438,            0.068126,            0.035306,            0.070411,           0.0032877,           0.0032877
                   1,             0.11699,            0.060528,            0.026382,             0.28909,             0.30269,             0.19307,            0.066613,             0.10354,            0.081751,            0.021399,            0.040389,           0.0065992,           0.0065992
                   2,             0.10808,            0.061244,            0.015257,             0.45153,             0.30822,             0.26081,            0.083683,            0.099344,            0.088803,            0.014349,            0.010345,           0.0098886,           0.0098886
                   3,            0.097979,            0.060376,            0.011006,             0.68238,             0.56292,             0.57276,             0.24983,            0.078415,            0.075842,           0.0085299,            0.009901,            0.009901,            0.009901
                   4,            0.089623,            0.057747,           0.0098006,             0.76178,             0.57874,             0.61866,             0.26723,            0.076502,            0.079059,           0.0080885,            0.009901,            0.009901,            0.009901
                   5,            0.084537,             0.05718,           0.0091596,             0.81268,             0.64946,             0.71557,             0.38419,            0.070227,            0.072239,           0.0077793,            0.009868,            0.009868,            0.009868
                   6,            0.081114,            0.055491,           0.0088076,             0.82075,              0.6462,             0.70943,              0.3609,            0.069861,            0.075108,           0.0075102,            0.009835,            0.009835,            0.009835
                   7,            0.078635,            0.054776,           0.0084748,             0.87418,             0.65473,             0.71367,             0.35884,            0.068594,            0.073008,           0.0074281,            0.009802,            0.009802,            0.009802
                   8,            0.077023,            0.053819,           0.0082984,             0.88911,             0.70431,             0.77032,             0.43279,              0.0639,            0.070704,           0.0071415,            0.009769,            0.009769,            0.009769
                   9,            0.075189,            0.054198,            0.008026,             0.88351,             0.69963,             0.76681,             0.42697,            0.063374,            0.069895,           0.0070547,            0.009736,            0.009736,            0.009736
                  10,            0.074046,            0.053444,           0.0079342,             0.89268,             0.72706,             0.79445,              0.4782,            0.061375,            0.069565,           0.0068021,            0.009703,            0.009703,            0.009703
                  11,            0.073047,            0.052912,           0.0078039,             0.90456,             0.72079,             0.78191,             0.43449,            0.063171,            0.070676,           0.0067841,             0.00967,             0.00967,             0.00967
