               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12497,            0.052867,            0.035165,            0.096072,             0.34387,            0.071245,            0.021561,             0.11396,            0.093012,            0.031932,            0.070476,           0.0032804,           0.0032804
                   1,              0.1038,            0.056108,            0.026801,             0.41801,             0.35505,             0.32988,              0.1008,            0.093294,            0.068403,            0.014682,            0.040454,           0.0065919,           0.0065919
                   2,            0.098948,             0.05599,            0.012754,             0.62231,              0.4782,             0.49277,             0.16531,            0.090368,            0.085755,           0.0091203,            0.010411,           0.0098814,           0.0098814
                   3,            0.088933,            0.055046,            0.010036,             0.69311,             0.53601,             0.58734,              0.2851,            0.077442,            0.077187,           0.0080563,            0.009901,            0.009901,            0.009901
                   4,            0.082691,            0.053623,           0.0090416,             0.84218,             0.63292,             0.71027,             0.37509,            0.070641,             0.06863,           0.0075206,            0.009901,            0.009901,            0.009901
                   5,            0.078636,            0.051872,           0.0084019,             0.87129,             0.65895,             0.72284,             0.38668,            0.066965,            0.068134,           0.0072681,            0.009868,            0.009868,            0.009868
                   6,             0.07664,            0.051678,           0.0081329,             0.87933,             0.64468,             0.71306,             0.40053,            0.066057,            0.066586,            0.006955,            0.009835,            0.009835,            0.009835
                   7,            0.074743,            0.050789,           0.0078351,             0.86882,             0.66235,             0.73658,             0.41185,            0.065379,            0.066344,           0.0067883,            0.009802,            0.009802,            0.009802
                   8,            0.073212,            0.049752,            0.007621,             0.87457,             0.68108,             0.74973,             0.43576,            0.063103,            0.066336,           0.0065762,            0.009769,            0.009769,            0.009769
                   9,             0.07214,            0.050338,           0.0074459,             0.89178,             0.70909,             0.78153,             0.48253,            0.059472,            0.062157,           0.0065044,            0.009736,            0.009736,            0.009736
                  10,            0.071013,            0.049421,           0.0073464,             0.90066,             0.69373,             0.76221,             0.44907,            0.061152,            0.064365,           0.0064057,            0.009703,            0.009703,            0.009703
                  11,            0.070499,            0.049108,           0.0073035,             0.91503,             0.71532,             0.78205,             0.46242,            0.060833,            0.064199,           0.0062772,             0.00967,             0.00967,             0.00967
                  12,            0.069808,            0.049101,           0.0072524,             0.90796,             0.72313,              0.7923,             0.49573,            0.058427,            0.062282,           0.0062277,            0.009637,            0.009637,            0.009637
                  13,            0.069057,            0.048463,           0.0071329,             0.90492,              0.7112,             0.77263,             0.47336,            0.059404,             0.06348,           0.0062347,            0.009604,            0.009604,            0.009604
