               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1222,            0.053682,            0.036129,             0.17098,             0.19969,             0.10927,            0.039773,             0.10248,            0.085754,            0.033254,            0.070476,           0.0032804,           0.0032804
                   1,            0.097088,            0.056842,            0.032013,             0.47757,             0.30578,             0.31637,             0.15051,            0.089854,            0.072859,            0.027874,            0.040454,           0.0065919,           0.0065919
                   2,            0.092311,            0.056375,            0.020505,             0.60284,             0.40504,             0.42181,             0.13059,              0.0871,            0.088275,            0.010631,            0.010411,           0.0098814,           0.0098814
                   3,            0.083369,            0.055292,            0.010233,             0.79442,              0.5514,             0.61965,             0.31765,            0.071429,            0.076211,           0.0078193,            0.009901,            0.009901,            0.009901
                   4,            0.076349,            0.053134,           0.0086058,             0.82917,             0.61427,             0.69225,             0.35532,            0.065727,             0.06937,           0.0071543,            0.009901,            0.009901,            0.009901
                   5,            0.072496,            0.051562,           0.0078267,              0.8761,             0.67522,             0.74635,             0.42194,            0.061758,            0.066377,           0.0067495,            0.009868,            0.009868,            0.009868
                   6,            0.069962,             0.05105,           0.0074719,             0.88092,              0.6468,             0.70762,             0.37666,            0.063803,            0.069644,           0.0064429,            0.009835,            0.009835,            0.009835
                   7,            0.068126,            0.050372,           0.0071559,             0.88285,             0.69504,              0.7656,             0.43835,            0.058616,            0.064182,           0.0062799,            0.009802,            0.009802,            0.009802
                   8,            0.066675,            0.049133,           0.0069022,              0.8793,             0.68206,             0.74561,             0.42521,            0.059032,            0.065525,           0.0062294,            0.009769,            0.009769,            0.009769
                   9,              0.0659,            0.049566,           0.0067321,             0.88615,             0.67591,             0.74176,             0.43993,            0.056788,            0.063327,           0.0060598,            0.009736,            0.009736,            0.009736
                  10,            0.064576,            0.048709,           0.0066273,              0.9025,             0.69271,             0.75536,             0.44602,            0.056042,            0.063159,           0.0058753,            0.009703,            0.009703,            0.009703
                  11,            0.064118,            0.048424,           0.0065579,              0.9116,             0.71925,             0.78548,             0.47214,             0.05554,            0.062251,            0.005815,             0.00967,             0.00967,             0.00967
                  12,            0.063471,            0.048266,            0.006491,             0.91346,             0.72048,             0.79122,             0.48448,            0.053948,            0.061813,           0.0057202,            0.009637,            0.009637,            0.009637
                  13,             0.06269,            0.047632,           0.0064088,             0.91116,             0.71214,             0.77446,             0.48083,            0.054167,            0.061549,           0.0056537,            0.009604,            0.009604,            0.009604
                  14,            0.061896,            0.047434,           0.0062726,             0.91119,             0.71606,             0.78677,              0.4738,            0.054499,            0.062381,           0.0056376,            0.009571,            0.009571,            0.009571
                  15,            0.061291,            0.046611,           0.0061665,             0.90987,             0.73064,             0.79941,             0.49453,            0.053567,            0.061548,           0.0056159,            0.009538,            0.009538,            0.009538
                  16,            0.060786,             0.04585,           0.0061447,             0.91419,              0.7189,             0.78334,             0.48208,            0.053182,            0.061538,           0.0054564,            0.009505,            0.009505,            0.009505
                  17,             0.06026,            0.046082,           0.0059764,             0.91973,             0.73962,              0.8073,             0.51355,            0.051396,            0.059697,           0.0053973,            0.009472,            0.009472,            0.009472
                  18,            0.060089,            0.045658,           0.0059483,             0.92268,             0.74485,             0.81127,             0.52355,            0.050747,            0.058677,           0.0054727,            0.009439,            0.009439,            0.009439
                  19,            0.059808,            0.046508,           0.0059581,             0.92838,             0.72933,             0.80259,             0.50891,             0.05111,             0.05945,           0.0054037,            0.009406,            0.009406,            0.009406
                  20,            0.059598,            0.045928,           0.0059887,             0.92681,             0.73398,             0.80514,             0.51552,            0.050984,              0.0595,           0.0053254,            0.009373,            0.009373,            0.009373
                  21,            0.059018,            0.045122,           0.0058527,             0.92991,             0.74315,              0.8162,              0.5242,            0.050319,            0.059137,            0.005349,             0.00934,             0.00934,             0.00934
                  22,            0.058554,            0.045305,           0.0058037,             0.93021,             0.73692,             0.81478,             0.52788,            0.049911,            0.058102,           0.0053088,            0.009307,            0.009307,            0.009307
                  23,            0.058635,            0.045521,           0.0058251,             0.92895,             0.73937,             0.81087,             0.51938,            0.050175,            0.058737,            0.005302,            0.009274,            0.009274,            0.009274
                  24,            0.058198,            0.045336,           0.0057811,             0.93164,             0.72673,             0.80408,             0.50539,            0.051121,            0.059757,           0.0052317,            0.009241,            0.009241,            0.009241
